"Category","Restaurant Name","Email","Phone","Website","Open Hrs","Close Hrs","Open Days","Address","Restaurant Image","Date","Action"
"","Biriyani Point","biriyani@gmail.com","044-28340071","www.biriyanicom","10am","10pm","mon-sat","patia,bbsr","","2022-04-29 22:08:44",""
"","Angan","angan@gmail.com","0413-4308084","angan.com","9am","10pm","mon-sat","Patia,Bbsr","","2022-04-29 22:10:40",""
"Chinese","Hotel 7 Sat","hotel7sat@gmail.com","0431-404-5005","http://www.hotelsatsat.com/","10am","11pm","24hr-x7","Back side of Trident College","","2022-04-29 21:01:51",""
"Chinese","Biriyani king","www.biriyaniking@gmail.com","0416-2217755","www.Biriyaniking.com","8am","11pm","24hr-x7","Patia,Bhubaneswar","","2022-04-29 20:32:49",""
"Chinese","Green Chilly","GreenChilly@gmail.com","5627606077","www.greenchilly.com","10am","--Select your Hours--","24hr-x7","Near Trident College,Bhubaneswar","","2022-04-29 20:42:48",""
"Chinese","Carbon","Caron@gmail.com","2345434567","Carboon.com","10am","11pm","mon-fri","Patia,Bhuaneswar","","2022-04-29 21:03:39",""
"Chinese","House of Biriyani","House@gmail.com","91-44-4565 3333","houseofbiriyani.com","9am","7pm","mon-sat","Patia ,Bhubaneswar","","2022-04-29 20:49:59",""
"Indian","Odisha Hotel","Odisha Hotel;@gmail.com","0423-2449464","Odishahotel.com","10am","10pm","mon-sat","Near Trident College","","2022-04-29 21:24:09",""
"Italian","mio amore","martini@gmail.com","3454345654","martinifoods.com","11am","11pm","mon-sat","Patia,Bhuaneswar","","2022-04-29 21:06:41",""
"North-Indian","Biriyani Box","biriyanibox@gmail.com","8870057753","www.biriyanibox.in","10am","11pm","mon-sat","Near KIIT College,Bhubaneswar","","2022-04-29 20:48:02",""
